customer_id,name,email,city,
1,Lajita Ramaswamy,user1@gmail.com,Mumbai,
2,Anika Dada,user2@gmail.com,Delhi,
3,Anusha Tak,user3@gmail.com,Hyderabad,
4,Vansha Tata,user4@gmail.com,Chennai,
5,Raagini Om,user5@gmail.com,Chennai,
6,Widisha Master,user6@gmail.com,Bangalore,
7,Widisha Bahl,user7@gmail.com,Mumbai,
8,Bhanumati Sehgal,user8@gmail.com,Jaipur,
9,Charles Chopra,user9@gmail.com,Mumbai,
10,Diya Basak,user10@gmail.com,Lucknow,
11,Amara Varkey,user11@gmail.com,Kolkata,
12,Damyanti Ranganathan,user12@gmail.com,Delhi,
13,Inaya Bhatia,user13@gmail.com,Delhi,
14,Ikbal Joshi,user14@gmail.com,Mumbai,
15,Chaman Mishra,user15@gmail.com,Chennai,
16,William Rege,user16@gmail.com,Chennai,
17,Yutika Kari,user17@gmail.com,Jaipur,
18,Varsha Reddy,user18@gmail.com,Lucknow,
19,Ekapad Buch,user19@gmail.com,Delhi,
20,Ishwar Bhakta,user20@gmail.com,Jaipur,
21,Lohit Babu,user21@gmail.com,Chennai,
22,Sneha Dash,user22@gmail.com,Jaipur,
23,Vansha Dey,user23@gmail.com,Kolkata,
24,Advika Ravel,user24@gmail.com,Chennai,
25,Hemani Ranganathan,user25@gmail.com,Ahmedabad,
26,Maanas Prabhakar,user26@gmail.com,Lucknow,
27,Yutika Divan,user27@gmail.com,Hyderabad,
28,Manbir Gill,user28@gmail.com,Delhi,
29,Mitesh Sachdeva,user29@gmail.com,Bangalore,
30,Chaitanya Pillay,user30@gmail.com,Kolkata,
31,Nitesh Walia,user31@gmail.com,Pune,
32,Andrew Hayre,user32@gmail.com,Hyderabad,
33,Zayyan Basu,user33@gmail.com,Bangalore,
34,Fiyaz Srinivas,user34@gmail.com,Chennai,
35,Rachita Bora,user35@gmail.com,Pune,
36,Ekapad Mani,user36@gmail.com,Mumbai,
37,Dhruv Nagarajan,user37@gmail.com,Mumbai,
38,Zashil Mody,user38@gmail.com,Kolkata,
39,Anya Sridhar,user39@gmail.com,Mumbai,
40,Samaksh Sangha,user40@gmail.com,Pune,
41,Zilmil Ratti,user41@gmail.com,Pune,
42,Nicholas Borde,user42@gmail.com,Lucknow,
43,Laksh Parekh,user43@gmail.com,Hyderabad,
44,Hredhaan Devan,user44@gmail.com,Delhi,
45,Matthew Acharya,user45@gmail.com,Ahmedabad,
46,Reva Kapoor,user46@gmail.com,Jaipur,
47,Anita Sur,user47@gmail.com,Mumbai,
48,Viraj Nadig,user48@gmail.com,Kolkata,
49,Shivansh Hayre,user49@gmail.com,Mumbai,
50,Bhavani Sami,user50@gmail.com,Jaipur,
51,Veda Biswas,user51@gmail.com,Hyderabad,
52,Oscar Deo,user52@gmail.com,Lucknow,
53,Oeshi Kale,user53@gmail.com,Pune,
54,Yuvraj Ahuja,user54@gmail.com,Lucknow,
55,Amaira Contractor,user55@gmail.com,Chennai,
56,Urishilla Sem,user56@gmail.com,Mumbai,
57,Shravya Nanda,user57@gmail.com,Delhi,
58,Rohan Dasgupta,user58@gmail.com,Chennai,
59,Vyanjana Agate,user59@gmail.com,Hyderabad,
60,Nitesh Raman,user60@gmail.com,Mumbai,
61,Bishakha Kata,user61@gmail.com,Chennai,
62,Osha Bhavsar,user62@gmail.com,Mumbai,
63,Ekta Bakshi,user63@gmail.com,Kolkata,
64,Zayan Dhingra,user64@gmail.com,Hyderabad,
65,Kamala Loyal,user65@gmail.com,Ahmedabad,
